col
"{row: 2482, column: ""$Amount""}: ""-33.13"" is not Positive"
"{row: 2522, column: ""$Amount""}: ""-2.39"" is not Positive"
"{row: 2529, column: ""$Amount""}: ""-5.69"" is not Positive"
"{row: 2547, column: ""$Amount""}: ""-198.88"" is not Positive"
"{row: 2584, column: ""$Amount""}: ""-3.4"" is not Positive"
"{row: 2661, column: ""$Amount""}: ""-5.62"" is not Positive"
"{row: 2662, column: ""$Amount""}: ""-46.5"" is not Positive"
"{row: 2758, column: ""$Amount""}: ""-0.54"" is not Positive"
"{row: 2796, column: ""$Amount""}: ""-6.36"" is not Positive"
"{row: 2852, column: ""$Amount""}: ""-217.8"" is not Positive"
"{row: 2917, column: ""$Amount""}: ""-8.14"" is not Positive"
"{row: 2922, column: ""$Amount""}: ""-29.04"" is not Positive"
"{row: 2990, column: ""$Amount""}: ""-377.52"" is not Positive"
"{row: 3040, column: ""$Amount""}: ""-425.92"" is not Positive"
"{row: 3051, column: ""$Amount""}: ""-0.3"" is not Positive"
"{row: 3088, column: ""$Amount""}: ""-38.13"" is not Positive"
"{row: 3089, column: ""$Amount""}: ""-97.82"" is not Positive"
"{row: 3147, column: ""$Amount""}: ""-180.84"" is not Positive"
"{row: 3203, column: ""$Amount""}: ""-3.11"" is not Positive"
"{row: 3307, column: ""$Amount""}: ""-1.58"" is not Positive"
"{row: 3322, column: ""$Amount""}: ""-430.76"" is not Positive"
"{row: 3342, column: ""$Amount""}: ""-2.44"" is not Positive"
"{row: 3419, column: ""$Amount""}: ""-217.36"" is not Positive"
"{row: 3450, column: ""$Amount""}: ""-38.27"" is not Positive"
"{row: 3471, column: ""$Amount""}: ""-16.64"" is not Positive"
"{row: 3496, column: ""$Amount""}: ""-37.22"" is not Positive"
"{row: 3583, column: ""$Amount""}: ""-489.28"" is not Positive"
"{row: 3639, column: ""$Amount""}: ""-7.77"" is not Positive"
"{row: 3640, column: ""$Amount""}: ""-182.41"" is not Positive"
"{row: 3649, column: ""$Amount""}: ""-0.91"" is not Positive"
"{row: 3669, column: ""$Amount""}: ""-12.99"" is not Positive"
"{row: 3676, column: ""$Amount""}: ""-155.76"" is not Positive"
"{row: 3721, column: ""$Amount""}: ""-34.21"" is not Positive"
"{row: 3734, column: ""$Amount""}: ""-2.15"" is not Positive"
"{row: 3737, column: ""$Amount""}: ""-175.12"" is not Positive"
"{row: 3764, column: ""$Amount""}: ""-509.89"" is not Positive"
"{row: 3794, column: ""$Amount""}: ""-29.32"" is not Positive"
"{row: 3815, column: ""$Amount""}: ""-283.8"" is not Positive"
"{row: 3838, column: ""$Amount""}: ""-88.0"" is not Positive"
"{row: 3904, column: ""$Amount""}: ""-437.8"" is not Positive"
"{row: 3914, column: ""$Amount""}: ""-31.91"" is not Positive"
"{row: 3950, column: ""$Amount""}: ""-0.83"" is not Positive"
"{row: 4032, column: ""$Amount""}: ""-235.53"" is not Positive"
"{row: 4033, column: ""$Amount""}: ""-680.3"" is not Positive"
"{row: 4095, column: ""$Amount""}: ""-55.42"" is not Positive"
"{row: 4154, column: ""$Amount""}: ""-0.81"" is not Positive"
"{row: 4189, column: ""$Amount""}: ""-7088.09"" is not Positive"
"{row: 4214, column: ""$Amount""}: ""-28.93"" is not Positive"
"{row: 4223, column: ""$Amount""}: ""-22.09"" is not Positive"
"{row: 4266, column: ""$Amount""}: ""-0.25"" is not Positive"
"{row: 4291, column: ""$Amount""}: ""-79.4"" is not Positive"
"{row: 4340, column: ""$Amount""}: ""-8.74"" is not Positive"
"{row: 4413, column: ""$Amount""}: ""-175.56"" is not Positive"
"{row: 4414, column: ""$Amount""}: ""-5.51"" is not Positive"
"{row: 4490, column: ""$Amount""}: ""-517.47"" is not Positive"
"{row: 4499, column: ""$Amount""}: ""-37.63"" is not Positive"
"{row: 4594, column: ""$Amount""}: ""-0.27"" is not Positive"
"{row: 4649, column: ""$Amount""}: ""-47.37"" is not Positive"
"{row: 4657, column: ""$Amount""}: ""-388.08"" is not Positive"
"{row: 4716, column: ""$Amount""}: ""-9.47"" is not Positive"
"{row: 4719, column: ""$Amount""}: ""-491.48"" is not Positive"
"{row: 4755, column: ""$Amount""}: ""-3.21"" is not Positive"
"{row: 4779, column: ""$Amount""}: ""-125.4"" is not Positive"
"{row: 4784, column: ""$Amount""}: ""-0.28"" is not Positive"
"{row: 4881, column: ""$Amount""}: ""-11.53"" is not Positive"
"{row: 4898, column: ""$Amount""}: ""-4.84"" is not Positive"
"{row: 4922, column: ""$Amount""}: ""-39.56"" is not Positive"
"{row: 4955, column: ""$Amount""}: ""-3.77"" is not Positive"
